% Model:              Possion.mph
% Version:            COMSOL 6.3.0.290
% Date:               Apr 7 2025, 14:24
% Dimension:          2
% Nodes:              10201
% Expressions:        5
%
% Length unit:        m
% X                       Y                        u (1)                    ux (1/m)                 uxx (1/m^2)              uy (1/m)                 uyy (1/m^2)
0.010000000000000009      0.1299999999999999       0.0017238379783171987    0.1674906683951678       -0.9574903356085045      0.007581472446063255     -0.042696502688567506
0.019999999999999962      0.11999999999999983      0.0031962619508610506    0.15039714345360156      -0.9073627817995612      0.01600935481519164      -0.09308820690479536
0.029999999999999943      0.10999999999999976      0.00440977714815868      0.13348592885051175      -0.8488122039521147      0.025343129650533005     -0.15198593374836106
0.03999999999999998       0.09999999999999976      0.005357508596894188     0.11688610031411079      -0.7814603533061728      0.035628201148198785     -0.21974953664884742
0.04999999999999996       0.08999999999999991      0.006033659926733347     0.10075216840804666      -0.7056867084865246      0.04688503127064561      -0.29594200377876234
0.06                      0.08000000000000002      0.006434049596459069     0.08525694720571655      -0.6229239306527745      0.05909743225864128      -0.37903534433453956
0.07                      0.06999999999999995      0.0065566480846176185    0.07057742916309706      -0.535710398579738       0.07220394880548708      -0.46639343714920756
0.08000000000000002       0.05999999999999989      0.006401996810117245     0.056876081063730266     -0.44731305879972183     0.08609729124274323      -0.5547063491243875
0.09000000000000005       0.04999999999999993      0.0059733912668617425    0.0442837601125422       -0.36096835943293115     0.10063455781058261      -0.6407784465057915
0.10000000000000006       0.03999999999999998      0.0052767775858759015    0.03289088887845737      -0.2790836211524237      0.11565586550920359      -0.7222962561260715
0.11000000000000007       0.029999999999999916     0.00432041003332748      0.022749404778951723     -0.20277241146592928     0.13100500281262378      -0.7982335101355176
0.12000000000000008       0.019999999999999796     0.00311438123226522      0.0138827403661958       -0.13182232190940368     0.14654629603641317      -0.86884411301547
0.13                      0                        0                        0                        0                        0.17185110055296296      -0.9675645735481563
0.1300000000000001        0.009999999999999842     0.0016701327768521969    0.0062986206045818754    -0.06492865185330743     0.1621758410229941       -0.9354212165676964
0                         0.1399999999999999       0                        0.18466406025588955      -0.9804681258198329      0                        0
0.010000000000000009      0.1399999999999999       0.0017976171962679054    0.17485954680058052      -0.9610626800922455      0.007174331688131606     -0.03908889053507281
0.019999999999999962      0.1299999999999999       0.00335193105753284      0.15812814131612496      -0.9155943760546492      0.015124366868285125     -0.08476759837567727
0.02999999999999997       0.11999999999999977      0.004656004319002802     0.14155153575650606      -0.8629067246065822      0.02390212362663982      -0.13772984603228008
0.03999999999999995       0.10999999999999971      0.005703396633277556     0.1252381550259025       -0.8026050430843199      0.03354913369842932      -0.19836130399267948
0.04999999999999996       0.09999999999999976      0.006488528713912407     0.10931804420751917      -0.7348190224095106      0.04408837930980808      -0.2664988859596491
0.06                      0.08999999999999991      0.007007114626448729     0.09393877578041324      -0.6604318076745983      0.05551520820652597      -0.3411985662397541
0.07                      0.08000000000000002      0.007256616987649187     0.07925639073110233      -0.5811873879811742      0.06778952983558212      -0.42064302590139846
